"Weekly papers released by March 21, 2016",http://nber.org//papers/w22106,The Price Effects of Cross-Market Hospital Mergers,"Leemore Dafny, Kate Ho, and Robin S. Lee #22106 "
"Weekly papers released by March 21, 2016",http://nber.org//papers/w22105,The Environmental Cost of Global Fuel Subsidies,Lucas W. Davis #22105 
"Weekly papers released by March 21, 2016",http://nber.org//papers/w22104,Can Tracking Raise the Test Scores of High-Ability Minority Students?,David Card and Laura Giuliano #22104 
"Weekly papers released by March 21, 2016",http://nber.org//papers/w22103,Learning from Potentially-Biased Statistics: Household Inflation Perceptions and Expectations in Argentina,"Alberto Cavallo, Guillermo Cruces, and Ricardo Perez-Truglia #22103 "
"Weekly papers released by March 21, 2016",http://nber.org//papers/w22102,The Labor Supply of Undocumented Immigrants,George J. Borjas #22102 
"Weekly papers released by March 21, 2016",http://nber.org//papers/w22101,"Management Practices, Workforce Selection and Productivity","Stefan Bender, Nicholas Bloom, David Card, John Van Reenen, and Stefanie Wolter #22101 "
"Weekly papers released by March 21, 2016",http://nber.org//papers/w22100,Money and Velocity During Financial Crises: From the Great Depression to the Great Recession,"Richard G. Anderson, Michael Bordo, and John V. Duca #22100 "
"Weekly papers released by March 21, 2016",http://nber.org//papers/w22099,A Glimpse into the World of High Capacity Givers: Experimental Evidence from a University Capital Campaign,"Tova Levin, Steven D. Levitt, and John A. List #22099 "
"Weekly papers released by March 21, 2016",http://nber.org//papers/w22098,Identification and Efficiency Bounds for the Average Match Function under Conditionally Exogenous Matching,"Bryan S. Graham, Guido W. Imbens, and Geert Ridder #22098 "
"Weekly papers released by March 21, 2016",http://nber.org//papers/w22097,Optimal Currency Area: A 20th Century Idea For the 21st Century?,Joshua Aizenman #22097 
"Weekly papers released by March 21, 2016",http://nber.org//papers/w22096,Macroeconomic-Driven Prepayment Risk and the Valuation of Mortgage-Backed Securities,"Mikhail Chernov, Brett R. Dunn, and Francis A. Longstaff #22096 "
"Weekly papers released by March 21, 2016",http://nber.org//papers/w22095,"The State of American Entrepreneurship: New Estimates of the Quantity and Quality of Entrepreneurship for 15 US States, 1988-2014",Jorge Guzman and Scott Stern #22095 
"Weekly papers released by March 21, 2016",http://nber.org//papers/w22094,"Three-generation Mobility in the United States, 1850-1940: The Role of Maternal and Paternal Grandparents","Claudia Olivetti, M. Daniele Paserman, and Laura Salisbury #22094 "
"Weekly papers released by March 21, 2016",http://nber.org//papers/w22093,"Organized Crime, Violence, and Politics","Alberto Alesina, Salvatore Piccolo, and Paolo Pinotti #22093 "
"Weekly papers released by March 21, 2016",http://nber.org//papers/w22092,An Input-Output Model of the U.S. Economy with Pollution Externality,Nicholas Z. Muller #22092 
"Weekly papers released by March 21, 2016",http://nber.org//papers/w22091,How Management Risk Affects Corporate Debt,"Yihui Pan, Tracy Yue Wang, and Michael S. Weisbach #22091 "
"Weekly papers released by March 21, 2016",http://nber.org//papers/w22090,"Revenue and Incentive Effects of Basis Step-Up at Death: Lessons from the 2010 ""Voluntary"" Estate Tax Regime","Robert Gordon, David Joulfaian, and James Poterba #22090 "
"Weekly papers released by March 21, 2016",http://nber.org//papers/w22089,Why Does Fast Loan Growth Predict Poor Performance for Banks?,"Rdiger Fahlenbrach, Robert Prilmeier, and Ren M. Stulz #22089 "
"Weekly papers released by March 21, 2016",http://nber.org//papers/w22088,Efficient Local Government Service Provision:  The Role of Privatization and Public Sector Unions,"Rhiannon Jerch, Matthew E. Kahn, and Shanjun Li #22088 "
"Weekly papers released by March 21, 2016",http://nber.org//papers/w22087,The Design of Trade Agreements,Kyle Bagwell and Robert W. Staiger #22087 
"Weekly papers released by March 21, 2016",http://nber.org//papers/w22069,Accounting for the New Gains from Trade Liberalization,"Chang-Tai Hsieh, Nicholas Li, Ralph Ossa, and Mu-Jeung Yang #22069 "
